Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
ACURA Integra,1.5,4.0,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHNXV01.54EC,large car,6,30,37,33,6,No,269
ACURA Integra A-Spec,1.5,4.0,Man-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SHNXV01.55DC,large car,5,26,36,30,6,No,293
ACURA MDX,3.5,6.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SHNXT03.5CCC,small SUV,4,19,26,22,5,No,411
ACURA MDX Type-S,3.0,6.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SHNXT03.0HTC,standard SUV,4,17,21,19,4,No,474
ACURA TLX,2.0,4.0,SemiAuto-10,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHNXV02.0AEC,small car,6,22,31,25,5,No,352
ACURA TLX AWD A-SPEC,2.0,4.0,SemiAuto-10,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHNXV02.0AEC,small car,6,21,29,24,5,No,371
ACURA TLX Type-S,3.0,6.0,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SHNXV03.0BCC,small car,4,19,25,21,4,No,420
ALFA ROMEO Giulia,2.0,4.0,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SCRXJ02.05P2,midsize car,4,24,33,27,5,No,330
ALFA ROMEO Giulia AWD,2.0,4.0,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SCRXJ02.05P2,midsize car,4,23,31,26,5,No,348
ALFA ROMEO Stelvio AWD,2.0,4.0,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SCRXJ02.05P2,small SUV,4,22,28,24,5,No,364
ALFA ROMEO Tonale eAWD,1.3,4.0,Auto-6,4WD,Gasoline/Electricity,CA,L3ULEV50,California LEV-III ULEV50,SCRXV01.35PH,small SUV,5,29/77,29/77,29/77,9,No,120
ASTON MARTIN DB12 V8,4.0,8.0,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SASXJ04.0AEX,small car,4,15,22,17,3,No,507
ASTON MARTIN DBX 707,4.0,8.0,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SASXJ04.0AEX,standard SUV,4,15,20,17,3,No,537
ASTON MARTIN Vantage,4.0,8.0,Auto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SASXJ04.0AEX,small car,4,15,22,18,4,No,498
AUDI A3,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SVGAV02.0A3N,small car,6,24,34,28,6,No,318
AUDI A4,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ02.0A7E,small car,4,26,36,29,6,No,301
AUDI A4 S line quattro,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ02.0A7G,small car,4,23,32,26,5,No,339
AUDI A4 allroad quattro,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ02.0A7G,station wagon,4,23,30,26,5,No,346
AUDI A5 Sportback S line quattro,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ02.0A7G,midsize car,4,23,32,26,5,No,339
AUDI A5 Sportback quattro,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ02.0A7E,midsize car,4,26,36,29,6,No,301
AUDI A6,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ02.0A7G,midsize car,4,24,31,26,5,No,339
AUDI A6 allroad quattro,3.0,6.0,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7N,station wagon,4,22,30,25,5,No,356
AUDI A7,3.0,6.0,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7N,midsize car,4,22,30,25,5,No,356
AUDI A8 quattro,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAV03.0N7M,large car,4,20,26,22,5,No,414
AUDI Q3,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SVGAT02.0A5T,small SUV,5,22,29,25,5,No,360
AUDI Q5 Plug-In Hybrid quattro,2.0,4.0,AMS-7,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SVGAT02.0A3P,small SUV,6,25/55,27/61,26/58,8,Yes,149
AUDI Q5 S line quattro,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ02.0A7G,small SUV,4,22,28,25,5,No,363
AUDI Q5 Sportback S line quattro,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ02.0A7G,small SUV,4,22,28,25,5,No,363
AUDI Q5 quattro,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ02.0A7E,small SUV,4,23,29,26,5,No,346
AUDI Q6 e-tron quattro,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0B6B,standard SUV,10,102,89,95,10,Elite,0
AUDI Q7,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAT02.0A77,standard SUV,4,20,26,22,5,No,405
AUDI Q8 Sportback e-tron quattro,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0AZE,standard SUV,10,73,75,74,10,Elite,0
AUDI Q8 e-tron quattro,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0AZE,standard SUV,10,73,75,74,10,Elite,0
AUDI Q8 quattro,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7N,standard SUV,4,17,23,19,4,No,459
AUDI RS 5 Sportback,2.9,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7F,midsize car,4,18,25,20,4,No,438
AUDI RS 6 Avant,4.0,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SVGAJ04.0NAT,station wagon,2,14,21,17,3,No,538
AUDI RS 7,4.0,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SVGAJ04.0NAT,midsize car,2,14,21,17,3,No,538
AUDI RS Q8 Performance,4.0,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SVGAJ04.0NAT,standard SUV,2,14,20,16,3,No,547
AUDI S3,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAV02.0A7N,small car,4,23,31,26,5,No,344
AUDI S4,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7F,small car,4,20,29,24,5,No,377
AUDI S5 Sportback,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7F,midsize car,4,20,29,23,5,No,384
AUDI S6,2.9,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7N,midsize car,4,19,27,22,5,No,408
AUDI S7,2.9,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7N,midsize car,4,19,27,22,5,No,408
AUDI S8,4.0,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SVGAJ04.0NAT,large car,2,15,24,18,4,No,502
AUDI SQ5,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7F,small SUV,4,19,24,21,4,No,427
AUDI SQ5 Sportback,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SVGAJ03.0N7F,small SUV,4,19,24,21,4,No,427
AUDI SQ6 e-tron,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0B6B,standard SUV,10,96,82,89,10,Elite,0
AUDI SQ7,4.0,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SVGAT04.0NAV,standard SUV,2,15,21,17,3,No,524
AUDI SQ8,4.0,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SVGAT04.0NAV,standard SUV,2,15,21,17,3,No,518
AUDI SQ8 Sportback e-tron (20 in. wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SVGAT00.0AZS,standard SUV,10,68,72,70,10,Elite,0
